Sector,Name,ExpertName,DCUM,IrradiationTime
LSS1,PMIAM.3R1,PMIL1611,45.4,300
LSS1,PMIAM.A4R1,PMIL1612,58.2,300
LSS1,PMIAM.B4R1,PMIL1711,140,300
LSS1,PMIAM.C4R1,PMIL1712,150.89,300
LSS1,PMIAM.5R1,PMIL1713,184.36,300
LSS1,PMIAM.6R1,PMIL1715,219.01,300
LSS1,PMIAM.6L1,PMIL1315,26439.26,300
LSS1,PMIAM.5L1,PMIL1313,26474.62,300
LSS1,PMIAM.C4L1,PMIL1312,26507.9932,300
LSS1,PMIAM.B4L1,PMIL1311,26518.8832,300
LSS1,PMIAM.A4L1,PMIL1412,26600.6832,300
LSS1,PMIAM.3L1,PMIL1411,26613.4832,300
LSS2,PMIAM.B6L2,PMIL2317,3121.8604,300
LSS2,PMIAM.A6L2,PMIL2316,3135.3604,300
LSS2,PMIAM.B5L2,PMIL2315,3169.6374,300
LSS2,PMIAM.A5L2,PMIL2314,3186.5293,300
LSS2,PMIAM.D4L2,PMIL2313,3215.4604,300
LSS2,PMIAM.C4L2,PMIL2312,3251.3604,300
LSS2,PMIAM.B4L2,PMIL2311,3263.1624,300
LSS2,PMIAM.A4L2,PMIL2412,3273.5404,300
LSS2,PMIAM.1L2,PMIL2411,3310.8604,300
LSS2,PMIAM.1R2,PMIL2611,3353.8604,300
LSS2,PMIAM.A4R2,PMIL2612,3390.96,300
LSS2,PMIAM.B4R2,PMIL2711,3449.2604,300
LSS2,PMIAM.6R2,PMIL2712,3558.5044,300
LSS3,PMIAM.B6L3,PMIL3312,6489.07,300
LSS3,PMIAM.A6L3,PMIL3313,6497.7208,300
LSS3,PMIAM.C5L3,PMIL3311,6512.26,300
LSS3,PMIAM.B5L3,PMIL3314,6520.24,300
LSS3,PMIAM.A5L3,PMIL3315,6609.5208,300
LSS3,PMIAM.4L3,PMIL3316,6620.9208,300
LSS3,PMIAM.4R3,PMIL3611,6706.83,300
LSS3,PMIAM.A5R3,PMIL3612,6717.52,300
LSS3,PMIAM.B5R3,PMIL3613,6807.3208,300
LSS3,PMIAM.C5R3,PMIL3616,6817.79,300
LSS3,PMIAM.A6R3,PMIL3614,6831.7208,300
LSS3,PMIAM.B6R3,PMIL3615,6840.7208,300
LSS4,PMIAM.A5L4,PMIL4513,9997.0812,300
LSS4,PMIAM.C5L4,PMIL4511,9980.8812,300
LSS4,PMIAM.B5L4,PMIL4512,9988.9312,300
LSS4,PMIAM.A5R4,PMIL4514,10004.8112,300
LSS4,PMIAM.B5R4,PMIL4515,10012.8362,300
LSS5,PMIAM.6L5,PMIL5314,13107.88,300
LSS5,PMIAM.5L5,PMIL5313,13146.0846,300
LSS5,PMIAM.C4L5,PMIL5312,13177.5336,300
LSS5,PMIAM.B4L5,PMIL5311,13189.8416,300
LSS5,PMIAM.A4L5,PMIL5412,13270.1776,300
LSS5,PMIAM.3L5,PMIL5411,13284.0416,300
LSS5,PMIAM.3R5,PMIL5611,13374.8416,300
LSS5,PMIAM.A4R5,PMIL5612,13388.7056,300
LSS5,PMIAM.B4R5,PMIL5711,13469.0416,300
LSS5,PMIAM.C4R5,PMIL5712,13481.3496,300
LSS5,PMIAM.5R5,PMIL5713,13512.7986,300
LSS5,PMIAM.6R5,PMIL5714,13551.02,300
LSS6,PMIAM.B5L6,PMIL6317,16457.802,300
LSS6,PMIAM.A5L6,PMIL6316,16471.6358,300
LSS6,PMIAM.H4L6,PMIL6315,16486.859,300
LSS6,PMIAM.G4L6,PMIL6314,16498.099,300
LSS6,PMIAM.F4L6,PMIL6313,16513.212,300
LSS6,PMIAM.E4L6,PMIL6312,16528.46,300
LSS6,PMIAM.D4L6,PMIL6311,16553.0567,300
LSS6,PMIAM.C4L6,PMIL6413,16620.91,300
LSS6,PMIAM.B4L6,PMIL6412,16634.802,300
LSS6,PMIAM.A4L6,PMIL6411,16649.527,300
LSS6,PMIAM.A4R6,PMIL6611,16674.077,300
LSS6,PMIAM.B4R6,PMIL6612,16688.802,300
LSS6,PMIAM.C4R6,PMIL6613,16702.6,300
LSS6,PMIAM.D4R6,PMIL6711,16770.547,300
LSS6,PMIAM.E4R6,PMIL6712,16795.576,300
LSS6,PMIAM.F4R6,PMIL6713,16810.592,300
LSS6,PMIAM.G4R6,PMIL6714,16825.505,300
LSS6,PMIAM.H4R6,PMIL6715,16837.345,300
LSS6,PMIAM.A5R6,PMIL6716,16851.468,300
LSS6,PMIAM.B5R6,PMIL6717,16865.945,300
LSS7,PMIAM.C6L7,PMIL7418,19794.1624,300
LSS7,PMIAM.B6L7,PMIL7417,19817.0893,300
LSS7,PMIAM.A6L7,PMIL7416,19833.6624,300
LSS7,PMIAM.D6L7,PMIL7311,19838.96,300
LSS7,PMIAM.B5L7,PMIL7415,19849.6624,300
LSS7,PMIAM.A5L7,PMIL7414,19896.9124,300
LSS7,PMIAM.C4L7,PMIL7413,19918.1624,300
LSS7,PMIAM.B4L7,PMIL7412,19941.7768,300
LSS7,PMIAM.A4L7,PMIL7411,19988.1624,300
LSS7,PMIAM.A4R7,PMIL7611,19996.1624,300
LSS7,PMIAM.B4R7,PMIL7612,20047.1624,300
LSS7,PMIAM.C4R7,PMIL7613,20067.8,300
LSS7,PMIAM.A5R7,PMIL7711,20091.1,300
LSS7,PMIAM.B5R7,PMIL7712,20138.6624,300
LSS7,PMIAM.D6R7,PMIL7716,20148.09,300
LSS7,PMIAM.A6R7,PMIL7713,20157.1,300
LSS7,PMIAM.B6R7,PMIL7714,20171.2363,300
LSS7,PMIAM.C6R7,PMIL7715,20193.69,300
LSS8,PMIAM.6L8,PMIL8312,23097.1098,300
LSS8,PMIAM.B4L8,PMIL8311,23195.8181,300
LSS8,PMIAM.A4L8,PMIL8412,23240.5548,300
LSS8,PMIAM.1L8,PMIL8411,23296.0028,300
LSS8,PMIAM.1R8,PMIL8611,23336.8028,300
LSS8,PMIAM.A4R8,PMIL8612,23374.5428,300
LSS8,PMIAM.B4R8,PMIL8711,23384.5008,300
LSS8,PMIAM.C4R8,PMIL8712,23396.3028,300
LSS8,PMIAM.D4R8,PMIL8717,23434.7912,300
LSS8,PMIAM.A5R8,PMIL8713,23462.5998,300
LSS8,PMIAM.B5R8,PMIL8714,23478.0258,300
LSS8,PMIAM.A6R8,PMIL8715,23512.3028,300
LSS8,PMIAM.B6R8,PMIL8716,23525.8008,300